scaled Front Center,scaled Front Left,scaled Front Right,scaled Left,scaled Right,Action
1.0,1.0,0.56,1.0,1.0,L
1.0,1.0,0.52,1.0,1.0,L
1.0,1.0,0.52,1.0,1.0,L
1.0,1.0,0.56,1.0,1.0,L
1.0,1.0,0.56,1.0,1.0,L
1.0,1.0,0.6,1.0,1.0,L
1.0,1.0,0.56,1.0,1.0,L
0.56,1.0,0.6,1.0,1.0,L
0.68,1.0,0.52,1.0,1.0,L
0.64,1.0,0.44,1.0,1.0,L
0.6,1.0,0.52,1.0,1.0,L
0.64,1.0,0.52,1.0,1.0,L
0.64,1.0,0.44,1.0,1.0,L
0.6,1.0,0.44,1.0,1.0,L
0.88,1.0,0.76,1.0,1.0,L
1.0,1.0,0.64,1.0,1.0,L
1.0,1.0,0.56,1.0,1.0,L
1.0,1.0,0.56,1.0,1.0,L
0.6,1.0,1.0,1.0,1.0,N
0.72,1.0,0.76,1.0,1.0,L
0.52,1.0,1.0,1.0,1.0,N
0.2,1.0,1.0,1.0,1.0,N
0.08,1.0,1.0,1.0,1.0,N
0.08,1.0,1.0,1.0,1.0,N
0.08,1.0,1.0,1.0,1.0,N
